,book_id,user_id,rating,original_publication_year
0,9891.0,48047.0,3.0,2008.0
1,9891.0,48262.0,3.0,1997.0
2,9891.0,48425.0,3.0,2005.0
3,9891.0,48459.0,4.0,1960.0
4,9891.0,48598.0,3.0,1925.0
5,9891.0,48759.0,3.0,2012.0
6,9891.0,50719.0,3.0,1937.0
7,9891.0,51151.0,4.0,1951.0
8,9891.0,52755.0,4.0,2000.0
9,9891.0,53362.0,4.0,1813.0
10,9892.0,87.0,3.0,2003.0
11,9892.0,826.0,4.0,2011.0
12,9892.0,1245.0,2.0,1949.0
13,9892.0,1660.0,3.0,1945.0
14,9892.0,1964.0,4.0,1947.0
15,9892.0,2382.0,5.0,2005.0
16,9892.0,2815.0,3.0,2009.0
17,9892.0,2936.0,3.0,1999.0
18,9892.0,3445.0,5.0,1954.0
19,9892.0,4291.0,3.0,2010.0
20,9892.0,4759.0,4.0,2003.0
21,9892.0,4901.0,4.0,2002.0
22,9892.0,5792.0,3.0,1998.0
23,9892.0,5811.0,4.0,2000.0
24,9892.0,6091.0,3.0,2007.0
25,9892.0,6223.0,3.0,2003.0
26,9892.0,6527.0,5.0,2005.0
27,9892.0,7087.0,3.0,1954.0
28,9892.0,7178.0,5.0,1595.0
29,9892.0,7270.0,5.0,2012.0
30,9892.0,8087.0,5.0,2009.0
31,9892.0,8146.0,3.0,1937.0
32,9892.0,8522.0,4.0,1997.0
33,9892.0,8914.0,4.0,2011.0
34,9892.0,9751.0,4.0,1988.0
35,9892.0,10011.0,4.0,1993.0
36,9892.0,10372.0,3.0,1950.0
37,9892.0,10987.0,3.0,2003.0
38,9892.0,11360.0,5.0,1996.0
39,9892.0,12323.0,4.0,2006.0
40,9892.0,12644.0,4.0,2005.0
41,9892.0,12861.0,5.0,1868.0
42,9892.0,13360.0,3.0,1847.0
43,9892.0,14005.0,4.0,1996.0
44,9892.0,14409.0,5.0,2001.0
45,9892.0,15026.0,4.0,2006.0
46,9892.0,15118.0,5.0,2005.0
47,9892.0,15286.0,5.0,1953.0
48,9892.0,15291.0,4.0,2006.0
49,9892.0,15299.0,5.0,1974.0
50,9892.0,15645.0,3.0,2007.0
51,9892.0,17418.0,4.0,2007.0
52,9892.0,17682.0,4.0,2002.0
53,9892.0,17686.0,3.0,1979.0
54,9892.0,18901.0,2.0,1932.0
55,9892.0,20289.0,4.0,2008.0
56,9892.0,20681.0,5.0,2001.0
57,9892.0,20704.0,4.0,1884.0
58,9892.0,21093.0,3.0,1952.0
59,9892.0,21109.0,5.0,2003.0
60,9892.0,21125.0,5.0,2015.0
61,9892.0,21981.0,4.0,1995.0
62,9892.0,22987.0,5.0,1847.0
63,9892.0,23641.0,4.0,2004.0
64,9892.0,25210.0,4.0,1969.0
65,9892.0,25513.0,4.0,1936.0
66,9892.0,25705.0,5.0,2007.0
67,9892.0,26033.0,5.0,1999.0
68,9892.0,26311.0,4.0,2012.0
69,9892.0,26448.0,5.0,1985.0
70,9892.0,26660.0,5.0,1818.0
71,9892.0,26786.0,5.0,1977.0
72,9892.0,27380.0,4.0,2008.0
73,9892.0,27522.0,5.0,2005.0
74,9892.0,29521.0,5.0,1996.0
75,9892.0,31298.0,3.0,1811.0
76,9892.0,31304.0,5.0,1998.0
77,9892.0,31396.0,5.0,2003.0
78,9892.0,31752.0,5.0,-720.0
79,9892.0,31867.0,4.0,1946.0
80,9892.0,32153.0,5.0,2005.0
81,9892.0,32865.0,5.0,1996.0
82,9892.0,33053.0,3.0,1859.0
83,9892.0,33323.0,4.0,1990.0
84,9892.0,33677.0,5.0,1964.0
85,9892.0,36955.0,3.0,1989.0
86,9892.0,38093.0,4.0,1958.0
87,9892.0,38998.0,5.0,2008.0
88,9892.0,39372.0,4.0,1973.0
89,9892.0,39993.0,5.0,1967.0
90,9892.0,40519.0,4.0,2009.0
91,9892.0,40733.0,5.0,2005.0
92,9892.0,41000.0,5.0,1911.0
93,9892.0,41714.0,3.0,1967.0
94,9892.0,42798.0,5.0,1891.0
95,9892.0,43509.0,5.0,2012.0
96,9892.0,43699.0,3.0,1897.0
97,9892.0,43782.0,5.0,2006.0
98,9892.0,44962.0,5.0,2011.0
99,9892.0,45806.0,5.0,1998.0
100,9892.0,45876.0,5.0,2000.0
101,9892.0,46381.0,5.0,1963.0
102,9892.0,48449.0,3.0,1844.0
103,9892.0,49262.0,3.0,2006.0
